﻿序號,縣市別代碼,機關代碼,市話,傳真,年,月,日,時,分,縣市,區,死亡數量,受傷數量,2-30,天候,道路照明設備,道路類別,道路速限,道路型態,事故位置,路面鋪裝,路面狀態,路面缺陷,障礙物,視距,號誌種類,號誌動作,分向設施,快車道或一般車道間,快慢車道間,路面邊線,事故類型及型態,受傷程度,主要傷處,保護裝備,行動電話或功能裝置,當事者區分（類別）,車輛用途,當事者行動狀態,駕照狀態,駕照種類,飲酒情形,車輛撞擊部位最初,車輛撞擊部位其他,肇事因素個別,肇事因素主要,肇事逃逸,職業,共享經濟或外送平台,GPS座標X,GPS座標Y,事故類別
1,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,0,16,臺中市,太平區,0,1,0,5,1,6,50,4,1,1,4,4,6,6,1,1,10,5,5,2,17,3,10,3,1,B03,7,15,1,8,2,2,,42,42,1,12,4,120.700571,24.147974,2
2,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,0,25,臺中市,西區,0,0,0,5,,,50,,,,,,,,,,,,,,,,,,,B03,,,1,,2,,,84,,1,12,4,120.679119,24.13716,3
3,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,0,32,臺中市,西屯區,0,0,0,5,,,80,,,,,,,,,,,,,,12,,,,,B02,,,1,,1,,,84,,1,12,4,120.655921,24.199994,3
4,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,1,8,臺中市,太平區,0,1,0,1,1,6,50,13,7,1,4,4,6,6,4,4,5,5,4,1,30,,,,,,,,,,,,,115,115,1,,,120.720124,24.148897,2
5,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,1,23,臺中市,龍井區,0,0,0,5,1,6,70,4,7,1,4,4,6,6,1,1,1,3,4,1,12,,,,,B03,,,1,,4,,,22,22,1,12,4,120.542378,24.2182,3
6,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,1,30,臺中市,烏日區,0,0,0,5,,,50,,,,,,,,,,,,,,,,,,,B12,,,1,,5,,,84,,1,6,4,120.642614,24.063804,3
7,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,1,37,臺中市,南區,0,1,0,5,1,6,50,13,9,1,4,4,5,6,4,4,1,4,5,2,18,2,9,2,1,C03,7,9,1,10,2,14,,84,84,1,5,4,120.66904,24.128266,2
8,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,1,37,臺中市,南屯區,0,0,0,7,1,6,50,13,9,1,4,4,6,6,4,4,4,3,5,2,12,3,10,5,4,B03,7,9,1,8,8,1,,56,56,1,13,4,120.64962,24.136753,3
9,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,1,47,臺中市,大里區,0,0,0,5,,,50,,,,,,,,,,,,,,24,,,,,B03,,,1,,2,,,84,,1,6,4,120.677958,24.097538,3
10,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,1,50,臺中市,北屯區,0,0,0,5,,,50,,,,,,,,,,,,,,30,,,,,B03,,,1,,2,,,84,,1,12,4,120.703998,24.173832,3
11,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,1,51,臺中市,東區,0,1,0,5,1,6,50,13,8,1,3,4,6,6,4,4,1,4,4,2,18,2,9,2,1,C03,7,9,1,10,2,12,,84,84,1,6,4,120.696491,24.136959,2
12,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,1,52,臺中市,西屯區,0,0,0,5,,,80,,,,,,,,,,,,,,17,,,,,B03,,,1,,1,,,84,,1,13,4,120.634948,24.179291,3
13,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,2,5,臺中市,北區,0,0,0,5,,,30,,,,,,,,,,,,,,14,,,,,B03,,,1,,2,,,49,,1,12,4,120.686327,24.162695,3
14,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,2,21,臺中市,北區,0,0,0,5,,,50,,,,,,,,,,,,,,16,,,,,B11,,,1,,1,,,51,,1,12,4,120.686653,24.153158,3
15,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,3,5,臺中市,沙鹿區,0,1,0,5,1,6,40,13,8,1,4,4,6,5,4,4,1,3,1,2,12,2,8,2,1,C03,7,9,1,10,2,11,,83,83,1,12,4,120.578302,24.222928,2
16,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,3,38,臺中市,太平區,0,1,0,5,1,8,80,13,7,1,4,4,6,6,4,4,1,4,4,1,20,2,9,3,1,B03,7,9,1,7,2,8,,84,84,1,12,4,120.710725,24.141557,2
17,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,4,50,臺中市,太平區,0,1,0,5,1,6,50,13,9,1,4,4,6,6,4,4,9,5,5,1,9,3,10,1,1,C03,7,9,1,10,2,11,,59,59,1,6,4,120.716767,24.125274,2
18,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,5,1,臺中市,太平區,0,1,1,1,1,6,50,3,19,1,4,4,6,6,4,4,5,5,5,2,3,2,1,1,1,C03,7,9,1,10,8,11,,59,59,1,6,4,120.719723,24.115327,2
19,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,5,23,臺中市,北屯區,0,0,0,7,,,50,,,,,,,,,,,,,,9,,,,,B03,,,1,4,9,,,4,4,1,12,4,120.724715,24.175041,3
20,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,5,26,臺中市,西屯區,0,0,0,5,,,80,,,,,,,,,,,,,,23,,,,,B03,,,1,,2,,,84,,1,13,4,120.634948,24.179291,3
21,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,5,29,臺中市,西屯區,0,0,0,5,,,80,,,,,,,,,,,,,,17,,,,,B03,,,1,,1,,,84,,1,12,4,120.659791,24.200894,3
22,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,5,35,臺中市,后里區,0,1,0,5,1,6,40,5,7,1,4,4,5,6,1,1,1,2,4,1,30,2,9,2,1,C03,7,9,1,10,2,11,,84,84,1,12,4,120.70392,24.311871,2
23,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,5,40,臺中市,大里區,0,0,0,5,,,50,,,,,,,,,,,,,,16,,,,,B03,,,1,,9,,,51,,2,6,4,120.690885,24.108516,3
24,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,5,49,臺中市,東區,0,1,0,5,1,6,50,13,9,1,4,4,6,6,4,4,5,4,5,2,18,2,1,1,1,C03,7,9,1,10,2,12,,84,84,1,13,4,120.708828,24.135573,2
25,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,5,50,臺中市,后里區,0,1,0,5,1,6,40,13,8,1,4,4,5,6,1,1,1,4,4,1,30,2,9,2,1,C03,7,9,1,10,2,14,,84,84,1,12,4,120.723735,24.295426,2
26,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,6,2,臺中市,西屯區,1,0,0,5,1,6,50,13,9,1,4,4,5,6,4,4,4,4,5,2,26,1,9,1,4,C03,7,9,1,10,9,11,,84,84,1,6,4,120.608468,24.157292,1
27,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,6,28,臺中市,北屯區,0,1,0,5,3,6,50,4,1,1,4,4,6,6,2,1,10,5,5,2,13,3,10,3,1,B03,7,5,1,8,2,8,,7,7,1,12,4,120.686732,24.200836,2
28,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,6,32,臺中市,大雅區,0,1,0,5,1,6,50,4,19,1,4,4,6,6,1,1,9,4,5,1,3,3,10,3,1,B03,7,9,1,8,2,8,,21,21,1,12,4,120.648386,24.221494,2
29,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,6,32,臺中市,太平區,0,0,0,5,2,3,80,13,9,1,4,4,6,6,4,4,2,4,5,2,13,3,10,3,1,B03,7,9,1,8,2,5,,84,84,1,6,4,120.710725,24.141557,3
30,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,6,35,臺中市,潭子區,0,1,0,5,2,6,60,4,2,1,4,4,6,6,2,1,10,5,5,2,9,3,10,3,1,A04,7,12,1,1,2,15,,84,74,1,12,4,120.709016,24.233109,2
31,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,6,37,臺中市,大肚區,0,0,0,5,,,50,,,,,,,,,,,,,,,,,,,B12,,,1,,1,,,84,84,1,6,4,120.5762,24.118831,3
32,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,6,49,臺中市,神岡區,0,0,0,5,,,30,,,,,,,,,,,,,,17,,,,,B03,,,1,,2,,,59,,1,6,4,120.689218,24.257427,3
33,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,6,50,臺中市,霧峰區,0,1,0,5,2,6,50,3,1,1,4,4,6,6,2,1,10,5,5,2,16,3,10,3,1,B03,7,11,1,8,2,3,,45,45,1,13,4,120.696457,24.024011,2
34,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,6,50,臺中市,東勢區,0,0,0,5,3,6,30,,,1,4,4,6,6,4,4,10,5,5,2,11,,,,,B03,,,1,,1,,,84,,1,12,4,120.832676,24.242124,3
35,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,7,0,臺中市,西屯區,0,0,0,5,,,50,,,,,,,,,,,,,,13,,,,,B03,,,1,,1,,,7,,1,12,4,120.647847,24.196114,3
36,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,7,4,臺中市,太平區,0,0,0,5,2,6,50,,,,,,,,,,,,,,,,,,,B12,,,5,,1,4,7,40,40,1,12,4,120.713349,24.144465,3
37,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,7,5,臺中市,西屯區,0,2,0,5,2,6,40,13,8,1,4,4,6,6,4,4,1,5,1,2,17,2,9,1,4,C03,7,9,1,10,2,12,,7,7,1,13,4,120.591224,24.191752,2
38,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,7,6,臺中市,北區,0,0,0,5,,,50,,,,,,,,,,,,,,13,,,,,B03,,,1,,2,,,7,,1,12,4,120.678361,24.163283,3
39,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,7,7,臺中市,豐原區,0,1,0,5,2,6,50,4,1,1,4,4,6,6,2,1,1,4,4,2,16,3,10,3,1,B03,7,6,1,8,2,2,,84,84,1,12,4,120.723621,24.24477,2
40,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,7,10,臺中市,北區,0,1,0,5,2,6,50,4,2,1,4,4,6,6,1,1,3,2,5,2,9,3,10,3,1,A02,7,12,1,2,2,15,,84,84,1,12,4,120.691613,24.160338,2
41,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,7,10,臺中市,梧棲區,0,0,0,5,,,30,,,,,,,,,,,,,,15,,,,,B03,,,1,,2,,,15,,1,6,4,120.533334,24.257474,3
42,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,7,16,臺中市,西屯區,0,0,0,5,,,50,,,,,,,,,,,,,,13,,,,,C03,,,1,,1,,,59,59,1,13,4,120.620614,24.184046,3
43,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,7,18,臺中市,霧峰區,0,0,0,5,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,116,,1,,,120.685028,24.065588,3
44,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,7,20,臺中市,后里區,0,1,0,5,2,6,50,4,1,1,4,4,6,6,1,1,10,5,5,2,16,3,10,3,1,B03,7,6,1,8,2,1,,11,11,1,12,4,120.689202,24.314444,2
45,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,7,21,臺中市,沙鹿區,0,1,0,7,2,6,30,13,9,1,5,4,6,6,4,4,10,5,5,2,17,3,10,3,1,B03,7,1,1,8,2,8,,51,51,1,13,4,120.564767,24.24265,2
46,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,7,22,臺中市,霧峰區,0,0,0,5,,,40,,,,,,,,,,,,,,13,,,,,B03,,,1,,2,,,7,7,1,12,4,120.672484,24.042527,3
47,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,7,23,臺中市,沙鹿區,0,2,0,5,2,6,50,3,1,1,4,4,6,6,4,4,10,5,5,2,17,2,1,6,1,F01,7,1,7,21,2,13,,20,20,1,3,4,120.564386,24.23731,2
48,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,7,24,臺中市,外埔區,0,0,0,7,,,50,,,,,,,,,,,,,,15,,,,,B03,,,1,,2,,,21,,1,12,4,120.655847,24.332295,3
49,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,7,25,臺中市,太平區,0,1,0,5,2,6,40,13,8,1,4,4,5,6,4,4,1,5,1,2,24,2,9,5,4,C03,7,9,1,10,2,11,,58,58,1,6,4,120.716218,24.154177,2
50,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,7,26,臺中市,大里區,0,0,0,5,,,30,,,,,,,,,,,,,,,,,,,C03,,,1,,2,,,15,,1,12,4,120.706323,24.083989,3
51,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,7,26,臺中市,梧棲區,0,1,0,5,2,6,50,4,1,1,4,4,6,6,4,4,10,5,5,2,18,2,9,1,1,C03,7,6,1,10,2,14,,84,84,1,6,4,120.530106,24.245928,2
52,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,7,27,臺中市,大里區,0,1,0,5,2,6,50,3,9,1,4,4,6,6,4,4,5,5,5,2,13,2,9,1,1,C03,7,9,1,10,2,11,,7,7,1,12,4,120.696329,24.11111,2
53,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,7,27,臺中市,新社區,0,1,0,5,3,6,50,13,9,1,4,4,2,2,4,4,5,4,5,1,11,3,10,3,1,B03,7,9,1,8,2,8,,84,84,1,12,4,120.814536,24.186974,2
54,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,7,30,臺中市,西區,0,0,0,5,,,50,,,,,,,,,,,,,,16,,,,,B03,,,1,,1,,,14,,1,6,4,120.654189,24.153578,3
55,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,7,30,臺中市,南屯區,0,2,0,5,2,6,40,13,8,1,4,4,6,6,4,4,1,4,4,2,12,2,8,2,1,C03,7,9,1,10,2,11,,84,84,1,6,4,120.594409,24.156797,2
56,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,7,30,臺中市,大肚區,0,1,0,5,2,6,30,3,1,1,4,4,6,6,4,4,10,5,5,2,17,3,10,3,1,B03,7,6,1,8,2,8,,14,14,1,6,4,120.560343,24.12198,2
57,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,7,30,臺中市,龍井區,0,2,0,5,1,6,40,13,8,1,4,4,6,6,4,4,3,4,3,1,17,2,9,1,1,C03,7,10,1,10,2,11,,84,84,1,6,4,120.588643,24.184609,2
58,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,7,31,臺中市,南屯區,0,0,0,7,,,50,,,,,,,,,,,,,,15,,,,,C03,,,1,,1,,,59,,1,12,4,120.62339,24.1497,3
59,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,7,31,臺中市,龍井區,0,0,0,5,,,50,,,,,,,,,,,,,,12,,,,,C03,,,1,,2,,,8,,1,6,4,120.58565,24.186074,3
60,66000,387130000C,(04)23274275,(04)23288582,2024,11,1,7,35,臺中市,西區,0,2,0,5,3,6,50,13,9,1,4,4,6,6,4,4,5,5,5,2,17,3,10,1,1,C03,7,15,1,10,2,11,,39,39,1,12,4,120.666645,24.148797,2
